Carcinoma Hepatocellular 0.71188676 -1.7108635 -3.5731192 6.0416846 2.6047213 -2.478802 1.4852496 -0.29694638 -2.2118938 -1.6491592 0.11278188 1.8963712 6.129955 0.24383138 -0.009799318 -1.2867837
Stomach Neoplasms 3.7470343 0.5860833 -2.2175002 6.501404 3.4737594 -1.465963 0.38855553 -3.0747147 -3.0979998 -0.757832 0.51197684 2.0316892 2.1943839 1.8201004 -2.9561207 0.97225386
Breast Neoplasms 1.7952993 2.3958135 -3.3157313 5.812459 -0.16388991 -1.2643931 -0.43021524 -5.9623256 0.3533395 1.6019027 -0.37982282 2.3798096 2.17005 3.669734 -0.13561033 -0.45300862
Colorectal Neoplasms 1.6181408 0.54552925 0.52012056 8.791159 2.9814281 0.7718189 -0.07101913 -2.4389381 1.0454619 -1.8750076 2.0120406 1.03244 2.2939408 1.7554573 -0.41564855 1.4493414
Carcinoma Non-Small-Cell Lung 1.1805351 -1.7429348 -5.1722217 4.921688 -0.90602225 0.26265958 0.34271845 -3.7254686 1.0485561 -0.91036385 0.08634445 -0.3442148 6.050054 0.39701876 0.68280405 4.0338354
Pancreatic Neoplasms 5.3486376 -1.0514526 -3.2956376 3.1827781 -1.0336453 -1.0628239 -4.280033 -0.82856154 -1.2778175 0.7802407 3.7865732 -3.4645643 1.3974632 -1.5190369 -0.5967519 -0.33863118
Glioma 1.7699277 -2.957122 -5.4843903 2.4057333 2.7037592 -2.2251015 -0.39897534 -2.3422034 1.7138942 -1.5336149 0.07169515 4.1695747 1.9649007 1.7869152 -3.105871 0.72717184
Prostatic Neoplasms -0.33523533 -0.050654978 -3.642843 4.666107 3.7165768 1.8599184 -3.0356834 -2.3872268 3.7656105 1.6161509 2.9291158 1.4919828 3.508416 -2.0344093 -0.56807387 1.6959387
Osteosarcoma -0.66223025 -2.6348479 -2.299066 6.9724817 0.9924405 -0.70247316 -1.6471629 -3.0647845 3.0181103 2.9481876 0.6735318 3.5949092 0.1395803 0.26733837 1.2879006 -0.9317098
Lung Neoplasms 1.501233 0.7971664 0.15411736 3.1500578 -1.88766 -3.990651 -0.6323978 -3.9308567 -0.98995996 3.3732278 4.9116993 0.9776693 6.023579 1.0487602 0.46936575 -1.6775423
Urinary Bladder Neoplasms -1.4894724 -5.9131536 -0.564024 5.81555 3.4304492 -1.5726984 -2.123272 -2.3967142 0.4167701 1.4944118 1.7806603 -2.1993651 1.8954833 1.9089715 2.4663577 -0.725126
Ovarian Neoplasms 2.7487204 -0.29963213 -5.4656625 2.0170197 -1.4729849 -5.8588324 -0.5734303 -4.322314 0.721502 2.5241504 -1.2712816 1.5680498 3.3261583 0.79881316 -0.48428118 0.04747188
Uterine Cervical Neoplasms 2.7694662 -0.6682088 -2.7099361 7.085795 -1.1633438 -4.284385 -2.4964092 -3.225622 1.6088676 2.1125922 -2.9285276 -0.7197004 -0.4309407 0.14173923 1.6667037 3.0475326
Astrocytoma 4.8909187 3.6597157 -0.62772065 2.8412793 0.017160421 -3.6641238 2.738397 0.5463348 0.09457182 -7.0305033 -1.1514405 -1.4248536 0.54431695 -4.985631 1.2936246 0.31361476
MALAT1 -1.0646728 -1.4999254 4.1523185 -8.041396 -1.6905756 1.1532627 -0.46558324 1.6488919 0.6305439 0.42157525 0.17615768 -0.9992835 -5.0795317 -2.077715 1.1464343 -1.3668728
H19 -3.3915586 -1.4657074 2.8258748 -8.658771 0.4883341 0.5511337 -1.2430942 2.3582473 2.956416 -0.19345441 -2.3003528 -1.5093808 -2.7433658 -2.5946443 2.053538 1.2202061
NEAT1 -1.5049887 -1.2420543 3.810706 -7.162581 -2.106579 1.811468 0.53342885 1.9822413 -0.5915036 -0.6617966 0.4384615 -0.36837578 -3.9948707 -2.2049792 1.58048 -0.76719546
Glioblastoma 0.5427313 -0.63287336 0.21088539 2.563985 0.9241369 -7.108891 -0.9339852 0.6241367 2.7029998 -1.41518 3.3516653 1.1603026 4.5606155 0.6536651 -0.24205613 4.29894
XIST -1.9206688 -1.6548839 3.6804922 -7.321763 -2.0353596 1.5683473 1.5627843 1.0897777 -0.6246091 0.07321058 1.3450874 -0.30877307 -4.7973166 -2.4720125 1.9965283 0.33714724
